writer_id,line_id,Text
103,p01-168-02-05_103_fancy,fancy
60,f07-088a-01-06_60_genius,genius
88,f07-088b-05-08_88_coarse,coarse
13,g04-048-04-04_13_chapel,chapel
64,e06-003-09-02_64_channel,channel
2,n02-004-03-11_2_mood,mood
36,g01-008-06-02_36_dreary,dreary
39,m04-138-00-05_39_sullen,sullen
46,d04-012-07-03_46_loves,loves
156,n04-052-05-06_156_grata,grata
12,d05-008-06-02_12_issued,issued
129,d04-096-00-13_129_Water,Water
60,f07-076a-05-00_60_opulent,opulent
13,g04-048-03-07_13_altar,altar
106,f04-032-08-06_106_inquest,inquest
28,m02-059-03-11_28_meal,meal
152,n03-126-02-08_152_heave,heave
51,d06-027-00-03_51_Loving,Loving
84,d06-008-04-01_84_harvest,harvest
10,d06-041-00-05_10_conveys,conveys
75,m06-067-00-09_75_Haris,Haris
64,e06-030-08-04_64_drift,drift
57,d04-086-00-06_57_sealed,sealed
68,d04-032-00-02_68_daily,daily
12,d05-008-01-01_12_throne,throne
76,g01-045-03-07_76_royal,royal
124,d01-123-03-08_124_unused,unused
28,m02-059-05-03_28_Mib,Mib
104,g01-019-03-06_104_navy,navy
124,d01-118-03-04_124_codex,codex
26,d07-096-04-00_26_accord,accord
34,e06-033-07-06_34_salmon,salmon
134,f07-024a-06-05_134_coals,coals
53,m02-055-03-08_53_bedroom,bedroom
58,g03-040-05-06_58_rented,rented
134,f07-024a-05-01_134_subside,subside
129,d04-101-03-07_129_inherit,inherit
117,f07-019b-05-01_117_dishes,dishes
35,n03-113-01-01_35_worried,worried
147,d04-047-04-02_147_Tanis,Tanis
92,g01-067-03-07_92_sixteen,sixteen
64,e06-030-09-02_64_rump,rump
98,p03-080-06-03_98_Load,Load
140,d05-040-01-00_140_Laud,Laud
39,m04-123-09-01_39_lone,lone
117,f07-016-00-04_117_spice,spice
51,d06-096-02-02_51_forty,forty
46,d04-016-06-06_46_helps,helps
88,f07-101b-02-05_88_Carlyle,Carlyle
19,n06-140-01-05_19_shrill,shrill
151,g02-059-07-04_151_frogs,frogs
111,m02-095-05-05_111_impulse,impulse
93,f04-083-07-11_93_Hill,Hill
11,f07-073-07-02_11_Goja,Goja
114,p06-030-01-00_114_steely,steely
16,p01-155-09-02_16_Satanic,Satanic
88,f07-092b-04-03_88_cloth,cloth
121,m04-061-02-04_121_Isaiah,Isaiah
133,p02-101-01-04_133_unkind,unkind
116,n01-052-00-03_116_Modena,Modena
105,d04-111-04-01_105_literal,literal
156,n04-075-07-03_156_Courier,Courier
117,f07-021b-07-06_117_pottage,pottage
18,g04-022-05-02_18_choral,choral
96,g02-065-04-03_96_cardiac,cardiac
57,d04-089-07-03_57_dwells,dwells
11,f07-084b-08-00_11_saffron,saffron
139,n01-036-05-07_139_knots,knots
155,f04-068-05-00_155_Lefroy,Lefroy
114,p06-042-05-03_114_dare,dare
88,f07-096-03-05_88_beer,beer
157,p02-027-01-03_157_jealous,jealous
156,n04-060-01-09_156_wallahs,wallahs
92,g01-070-02-01_92_yield,yield
51,d06-027-07-03_51_Thee,Thee
114,p06-088-09-07_114_inquest,inquest
12,d05-008-04-02_12_grown,grown
121,m04-038-03-01_121_Isaiah,Isaiah
99,e06-026-00-00_99_Drift,Drift
98,p03-080-02-03_98_staff,staff
19,n06-128-04-05_19_shallow,shallow
17,p03-072-04-08_17_Load,Load
40,m01-084-00-00_40_Deadly,Deadly
79,p02-150-04-08_79_Lilyan,Lilyan
150,f07-006-02-07_150_peasant,peasant
19,n06-133-04-14_19_sang,sang
92,g01-074-07-04_92_jealous,jealous
75,m06-056-00-00_75_Haris,Haris
92,g01-074-02-02_92_Genoa,Genoa
64,e06-015-09-00_64_spawn,spawn
144,n02-040-01-00_144_Boxer,Boxer
60,f07-092a-02-06_60_turbot,turbot
53,m02-055-07-01_53_Mocrat,Mocrat
126,g03-043-02-03_126_Charlie,Charlie
32,m03-006-04-08_32_secrets,secrets
77,n04-009-01-01_77_ashore,ashore
141,m01-060-04-00_141_mankind,mankind
153,d01-049-02-10_153_exhibit,exhibit
143,n02-054-08-03_143_shaded,shaded
26,d07-082-00-04_26_Mishnah,Mishnah
66,c04-110-00-08_66_presto,presto
11,f07-084b-07-10_11_mussels,mussels
1,m02-048-02-00_1_January,January
16,p01-155-06-03_16_leaping,leaping
64,e06-015-04-05_64_Anglia,Anglia
64,e06-015-04-01_64_Effects,Effects
40,m01-084-07-03_40_BBC,BBC
59,n04-100-01-00_59_Check,Check
88,f07-088b-05-02_88_supper,supper
29,d01-104-04-03_29_Pompeii,Pompeii
88,f07-088b-06-02_88_bowl,bowl
72,m01-079-03-02_72_garaged,garaged
75,m06-048-07-04_75_souls,souls
136,d01-085-02-09_136_roll,roll
75,m06-031-00-06_75_Stop,Stop
114,p06-030-01-08_114_lashed,lashed
88,f07-096-04-07_88_oysters,oysters
96,g02-065-09-02_96_impulse,impulse
109,m04-081-06-03_109_Went,Went
123,g07-079a-03-00_123_crumble,crumble
121,m04-061-02-13_121_uncivil,uncivil
117,f07-024b-10-01_117_lifted,lifted
109,m04-072-10-00_109_Ward,Ward
71,n02-049-00-07_71_riles,riles
128,n03-097-06-02_128_boom,boom
149,r03-053-07-06_149_fake,fake
56,d04-058-03-07_56_kindled,kindled
109,m04-078-04-06_109_Mam,Mam
26,d07-093-06-06_26_quoting,quoting
131,m03-020-03-04_131_arrows,arrows
133,p02-101-02-03_133_packet,packet
124,d01-123-03-06_124_roll,roll
150,f07-002-07-03_150_burnt,burnt
19,n06-111-05-03_19_ridge,ridge
151,g02-059-04-08_151_thicken,thicken
98,p03-080-04-08_98_lad,lad
7,m01-136-09-02_7_tuning,tuning
68,d04-032-03-03_68_Shamirs,Shamirs
39,m04-138-06-07_39_tearing,tearing
66,c04-110-00-07_66_hey,hey
155,f04-068-04-06_155_Gold,Gold
41,n02-157-07-06_41_wid,wid
70,p02-008-01-00_70_taxi,taxi
129,d04-096-05-08_129_binds,binds
4,n04-213-04-08_4_Senior,Senior
134,f07-021a-05-08_134_pottage,pottage
11,f07-073-04-02_11_roll,roll
129,d04-101-04-09_129_Psalm,Psalm
34,d06-037-01-03_34_tossing,tossing
39,m04-107-09-02_39_Quietly,Quietly
114,p06-030-05-06_114_hers,hers
84,c06-011-07-01_84_chums,chums
105,d04-111-02-07_105_Saud,Saud
12,d05-021-04-04_12_Supper,Supper
63,n03-038-02-07_63_wine,wine
71,n02-028-02-07_71_aloof,aloof
26,d07-100-02-06_26_Rami,Rami
39,m04-131-07-02_39_verse,verse
88,g07-000b-02-08_88_Count,Count
82,g02-062-00-11_82_beat,beat
26,d07-096-02-03_26_sugya,sugya
51,d06-056-05-09_51_seated,seated
60,f07-088a-08-02_60_coarse,coarse
88,f07-092b-00-01_88_Gabriel,Gabriel
