writer_id,line_id
344,g06-050m-00
344,g06-050m-01
344,g06-050m-02
344,g06-050m-03
344,g06-050m-04
344,g06-050m-05
344,g06-050m-06
344,g06-050m-07
344,g06-050m-08
341,g06-026j-00
341,g06-026j-01
341,g06-026j-02
341,g06-026j-03
341,g06-026j-04
341,g06-026j-05
341,g06-026j-06
333,g06-018b-00
333,g06-018b-01
333,g06-018b-02
333,g06-018b-03
333,g06-018b-04
333,g06-018b-05
333,g06-018b-06
333,g06-018b-07
333,g06-018b-08
333,g06-018b-09
241,e04-132-00
241,e04-132-01
241,e04-132-02
241,e04-132-03
070,a06-025-00
070,a06-025-01
070,a06-025-02
070,a06-025-03
070,a06-025-04
070,a06-025-07
670,r06-035-00
670,r06-035-01
670,r06-035-02
670,r06-035-03
670,r06-035-04
670,r06-035-05
670,r06-035-06
342,g06-045k-04
342,g06-045k-05
342,g06-045k-06
044,a03-017-00
044,a03-017-01
044,a03-017-02
044,a03-017-03
044,a03-017-04
044,a03-017-05
044,a03-017-06
044,a03-017-07
044,a03-017-08
227,e02-094-00
227,e02-094-01
227,e02-094-02
227,e02-094-03
227,e02-094-04
227,e02-094-05
227,e02-094-06
227,e02-094-07
227,e02-094-08
227,e02-094-09
125,b06-093-00
125,b06-093-01
125,b06-093-02
125,b06-093-03
125,b06-093-04
125,b06-093-05
125,b06-093-06
125,b06-093-07
125,b06-093-08
125,b06-093-09
125,b06-093-10
026,a02-098-00
026,a02-098-01
026,a02-098-02
026,a02-098-06
026,a02-098-07
026,a02-098-08
000,a01-132x-01
000,a01-132x-03
000,a01-132x-04
000,a01-132x-06
000,a01-132x-07
000,a01-132x-08
021,a02-000-02
021,a02-000-03
021,a02-000-04
021,a02-000-05
021,a02-000-06
021,a02-000-07
109,b04-060-00
109,b04-060-04
109,b04-060-05
109,b04-060-06
064,a04-092-00
064,a04-092-01
064,a04-092-03
064,a04-092-05
064,a04-092-07
064,a04-092-08
064,a04-092-09
064,a04-092-10
249,e07-112-00
249,e07-112-01
249,e07-112-02
249,e07-112-03
249,e07-112-04
249,e07-112-05
009,a01-026-00
009,a01-026-01
009,a01-026-03
009,a01-026-05
009,a01-026-06
009,a01-026-07
009,a01-026-08
067,a06-008-01
067,a06-008-04
067,a06-008-06
067,a06-008-07
128,b06-071-00
128,b06-071-01
128,b06-071-02
