writer_id,line_id
241,e04-132-00
44,a03-017-02
44,a03-017-04
44,a03-017-07
227,e02-094-07
125,b06-093-00
125,b06-093-01
125,b06-093-03
125,b06-093-04
26,a02-098-07
26,a02-098-08
0,a01-132x-08
21,a02-000-02
109,b04-060-00
109,b04-060-06
64,a04-092-01
249,e07-112-00
9,a01-026-00
9,a01-026-06
128,b06-071-01
128,b06-071-06
0,a05-013-05
165,c04-080-04
60,a04-043-01
60,a04-043-05
0,a01-096u-06
255,f01-135-01
255,f01-135-06
41,a03-009-00
41,a03-009-06
241,e04-099-02
241,e04-099-03
123,b06-097-00
123,b06-097-04
123,b06-097-07
63,a04-081-00
63,a04-081-01
63,a04-081-04
63,a04-081-05
63,a04-081-09
0,a01-072u-00
0,a01-072u-04
0,a01-072u-08
153,c03-003d-01
153,c03-003d-03
215,e01-102-00
134,b06-090-00
134,b06-090-02
134,b06-090-05
142,c02-030-04
142,c02-030-05
142,c02-030-08
34,a02-078-09
91,b01-079-08
91,b01-079-09
91,b01-079-10
65,a05-004-05
65,a05-004-06
153,c03-007d-00
153,c03-007d-03
153,c03-007d-05
153,c03-007d-06
153,c03-007d-07
123,c06-039-06
17,a01-087-01
17,a01-087-05
128,c06-076-01
128,c06-076-05
128,c06-076-06
65,a05-009-00
65,a05-009-06
268,f03-174-03
224,e02-082-03
224,e02-082-06
224,e02-082-07
0,a01-102u-05
127,c06-106-00
127,c06-106-05
127,c06-106-06
248,e07-105-01
248,e07-105-02
248,e07-105-04
248,e07-105-05
232,e04-019-04
232,e04-019-05
1,a01-000x-03
223,e02-074-01
223,e02-074-04
223,e02-074-08
84,a06-128-05
84,a06-128-07
13,a01-058-00
13,a01-058-05
0,a01-030u-06
0,a01-020u-01
98,b02-102-02
0,a05-116-04
0,a05-116-06
0,a05-116-07
0,a05-125-00
0,a05-125-01
0,a05-125-02
127,b06-015-02
127,b06-015-09
154,c03-000e-00
154,c03-000e-01
154,c03-000e-05
154,c03-000e-07
159,c04-017-00
60,a04-031-00
60,a04-031-01
60,a04-031-08
113,b04-181-00
264,f02-040-00
264,f02-040-09
213,e01-062-01
213,e01-062-04
37,a02-106-01
26,a02-042-00
26,a02-042-02
247,e07-083-04
247,e07-083-05
247,e07-083-09
239,h04-000-03
239,h04-000-09
45,a03-020-02
45,a03-020-03
45,a03-020-08
267,f03-169-05
154,c03-081e-03
154,c03-081e-07
0,a05-084-03
0,a05-084-04
0,a05-084-09
0,a05-048-01
0,a05-048-04
0,a05-048-07
151,c03-081b-00
151,c03-081b-03
151,c03-081b-06
153,c03-081d-04
153,c03-081d-09
125,c06-005-00
125,c06-005-05
125,c06-005-08
158,c04-013-03
7,a01-038-05
0,a01-117u-03
150,c03-003a-05
