writer_id,line_id
241,e04-132-01
241,e04-132-02
241,e04-132-03
70,a06-025-00
70,a06-025-01
70,a06-025-02
70,a06-025-03
70,a06-025-04
70,a06-025-07
44,a03-017-00
44,a03-017-01
44,a03-017-03
44,a03-017-05
44,a03-017-06
44,a03-017-08
227,e02-094-00
227,e02-094-01
227,e02-094-02
227,e02-094-03
227,e02-094-04
227,e02-094-05
227,e02-094-06
227,e02-094-08
227,e02-094-09
125,b06-093-02
125,b06-093-05
125,b06-093-06
125,b06-093-07
125,b06-093-08
125,b06-093-09
125,b06-093-10
26,a02-098-00
26,a02-098-01
26,a02-098-02
26,a02-098-06
0,a01-132x-01
0,a01-132x-03
0,a01-132x-04
0,a01-132x-06
0,a01-132x-07
21,a02-000-03
21,a02-000-04
21,a02-000-05
21,a02-000-06
21,a02-000-07
109,b04-060-04
109,b04-060-05
64,a04-092-00
64,a04-092-03
64,a04-092-05
64,a04-092-07
64,a04-092-08
64,a04-092-09
64,a04-092-10
249,e07-112-01
249,e07-112-02
249,e07-112-03
249,e07-112-04
249,e07-112-05
9,a01-026-01
9,a01-026-03
9,a01-026-05
9,a01-026-07
9,a01-026-08
67,a06-008-01
67,a06-008-04
67,a06-008-06
67,a06-008-07
128,b06-071-00
128,b06-071-02
128,b06-071-03
128,b06-071-04
128,b06-071-05
128,b06-071-07
128,b06-071-08
128,b06-071-09
0,a05-013-00
0,a05-013-01
0,a05-013-02
0,a05-013-03
0,a05-013-04
0,a05-013-06
0,a05-013-07
165,c04-080-00
165,c04-080-01
165,c04-080-02
165,c04-080-03
165,c04-080-05
165,c04-080-06
36,a02-086-00
36,a02-086-01
36,a02-086-02
36,a02-086-03
36,a02-086-04
36,a02-086-05
36,a02-086-06
60,a04-043-00
60,a04-043-02
60,a04-043-03
60,a04-043-04
60,a04-043-07
261,f02-030-05
261,f02-030-06
0,a01-096u-00
0,a01-096u-01
0,a01-096u-02
0,a01-096u-03
0,a01-096u-04
0,a01-096u-05
0,a01-096u-07
0,a01-096u-08
0,a01-096u-09
255,f01-135-00
255,f01-135-02
255,f01-135-03
255,f01-135-04
255,f01-135-05
255,f01-135-07
255,f01-135-08
255,f01-135-09
255,f01-135-10
41,a03-009-03
41,a03-009-04
41,a03-009-07
241,e04-099-00
241,e04-099-01
241,e04-099-04
241,e04-099-05
88,b01-014-00
88,b01-014-01
88,b01-014-02
88,b01-014-05
88,b01-014-06
88,b01-014-07
123,b06-097-01
123,b06-097-02
123,b06-097-03
123,b06-097-05
123,b06-097-06
63,a04-081-02
63,a04-081-03
63,a04-081-06
63,a04-081-07
63,a04-081-08
0,a01-072u-01
0,a01-072u-02
0,a01-072u-03
0,a01-072u-05
0,a01-072u-06
0,a01-072u-07
153,c03-003d-00
153,c03-003d-02
153,c03-003d-04
153,c03-003d-05
153,c03-003d-06
153,c03-003d-07
153,c03-003d-08
111,b04-116-00
215,e01-102-04
215,e01-102-05
215,e01-102-06
215,e01-102-08
134,b06-090-01
134,b06-090-03
134,b06-090-04
134,b06-090-06
142,c02-030-03
142,c02-030-06
142,c02-030-07
34,a02-078-00
34,a02-078-01
34,a02-078-04
34,a02-078-05
34,a02-078-06
34,a02-078-07
34,a02-078-08
91,b01-079-00
91,b01-079-01
91,b01-079-02
91,b01-079-03
91,b01-079-04
91,b01-079-05
91,b01-079-06
91,b01-079-07
65,a05-004-00
65,a05-004-01
65,a05-004-02
65,a05-004-03
65,a05-004-04
65,a05-004-07
65,a05-004-08
65,a05-004-09
153,c03-007d-01
153,c03-007d-02
153,c03-007d-04
153,c03-007d-08
123,c06-039-00
123,c06-039-02
123,c06-039-03
123,c06-039-07
17,a01-087-00
17,a01-087-02
17,a01-087-03
17,a01-087-04
17,a01-087-06
17,a01-087-07
128,c06-076-00
128,c06-076-02
128,c06-076-03
128,c06-076-04
128,c06-076-07
128,c06-076-08
128,c06-076-09
65,a05-009-01
65,a05-009-02
65,a05-009-03
65,a05-009-04
65,a05-009-05
268,f03-174-02
268,f03-174-04
224,e02-082-01
224,e02-082-02
224,e02-082-04
224,e02-082-05
0,a01-102u-00
0,a01-102u-01
0,a01-102u-02
0,a01-102u-03
0,a01-102u-04
0,a01-102u-06
0,a01-102u-07
0,a01-102u-08
127,c06-106-01
127,c06-106-02
127,c06-106-03
127,c06-106-04
127,c06-106-07
127,c06-106-08
127,c06-106-09
127,c06-106-10
248,e07-105-00
248,e07-105-03
248,e07-105-06
232,e04-019-00
232,e04-019-01
232,e04-019-02
232,e04-019-03
232,e04-019-06
232,e04-019-07
165,c04-128-00
165,c04-128-01
165,c04-128-02
165,c04-128-03
165,c04-128-04
165,c04-128-05
165,c04-128-06
165,c04-128-07
1,a01-000x-00
1,a01-000x-01
1,a01-000x-02
1,a01-000x-04
1,a01-000x-05
234,e04-034-07
223,e02-074-00
223,e02-074-02
223,e02-074-03
223,e02-074-05
223,e02-074-06
223,e02-074-07
223,e02-074-09
223,e02-074-10
84,a06-128-00
84,a06-128-01
84,a06-128-02
84,a06-128-03
84,a06-128-04
84,a06-128-06
84,a06-128-08
84,a06-128-09
13,a01-058-01
13,a01-058-02
13,a01-058-03
13,a01-058-04
13,a01-058-06
13,a01-058-07
13,a01-058-08
13,a01-058-09
0,a01-030u-00
0,a01-030u-01
0,a01-030u-02
0,a01-030u-03
0,a01-030u-04
0,a01-030u-05
0,a01-030u-07
0,a01-030u-08
0,a01-030u-09
0,a01-030u-10
0,a01-020u-00
0,a01-020u-02
0,a01-020u-03
0,a01-020u-04
0,a01-020u-05
0,a01-020u-06
0,a01-020u-07
0,a01-020u-08
274,f04-020-05
98,b02-102-04
0,a05-116-00
0,a05-116-01
0,a05-116-02
0,a05-116-03
0,a05-116-05
0,a05-116-08
0,a05-116-09
0,a05-125-03
0,a05-125-04
0,a05-125-05
0,a05-125-06
127,b06-015-00
127,b06-015-01
127,b06-015-03
127,b06-015-04
127,b06-015-05
127,b06-015-06
127,b06-015-07
127,b06-015-08
127,b06-015-10
154,c03-000e-03
154,c03-000e-04
154,c03-000e-06
159,c04-017-01
159,c04-017-02
60,a04-031-02
60,a04-031-03
60,a04-031-04
60,a04-031-05
60,a04-031-06
113,b04-181-01
113,b04-181-02
113,b04-181-03
113,b04-181-04
113,b04-181-05
113,b04-181-06
264,f02-040-03
264,f02-040-04
264,f02-040-08
213,e01-062-00
213,e01-062-02
213,e01-062-05
37,a02-106-00
37,a02-106-02
37,a02-106-06
37,a02-106-07
37,a02-106-08
37,a02-106-09
275,f04-024-02
275,f04-024-03
275,f04-024-04
275,f04-024-06
26,a02-042-05
247,e07-083-00
247,e07-083-01
247,e07-083-02
247,e07-083-03
247,e07-083-06
247,e07-083-07
247,e07-083-08
247,e07-083-10
239,h04-000-00
239,h04-000-01
239,h04-000-02
239,h04-000-04
239,h04-000-05
239,h04-000-06
239,h04-000-07
239,h04-000-08
126,b06-012-05
45,a03-020-00
45,a03-020-01
45,a03-020-04
45,a03-020-05
45,a03-020-06
45,a03-020-07
45,a03-020-09
45,a03-020-10
4,a01-007-00
4,a01-007-01
4,a01-007-02
4,a01-007-03
4,a01-007-04
4,a01-007-05
4,a01-007-06
4,a01-007-07
4,a01-007-08
267,f03-169-00
267,f03-169-02
267,f03-169-03
267,f03-169-04
267,f03-169-06
42,a03-011-07
42,a03-011-08
154,c03-081e-00
154,c03-081e-01
154,c03-081e-02
154,c03-081e-04
154,c03-081e-05
154,c03-081e-06
154,c03-081e-09
0,a05-084-00
0,a05-084-01
0,a05-084-02
0,a05-084-05
0,a05-084-06
0,a05-084-07
0,a05-084-08
0,a05-048-00
0,a05-048-02
0,a05-048-03
0,a05-048-05
0,a05-048-06
0,a05-048-08
0,a05-048-09
0,a05-048-10
151,c03-081b-01
151,c03-081b-02
151,c03-081b-04
151,c03-081b-05
151,c03-081b-07
153,c03-081d-00
153,c03-081d-01
153,c03-081d-02
153,c03-081d-03
153,c03-081d-05
153,c03-081d-06
153,c03-081d-07
153,c03-081d-08
272,f04-016-01
272,f04-016-02
