line_id,writer_id
r06-097-06,671
f04-096-01,193
f07-021b-09,287
c04-044-00,161
k03-164-08,436
p02-131-01,606
a03-034-06,49
m02-087-02,530
e06-026-01,205
g06-031f-05,337
d04-117-00,197
g01-034-01,298
c03-081b-01,151
j01-045-05,394
a03-073-00,0
d04-131-05,198
d06-056-00,206
e01-055-04,181
k03-164-03,436
n03-106-05,578
h07-037a-03,387
h07-071a-02,390
h07-063b-01,390
p02-139-02,608
b06-004-02,124
m04-131-02,547
k04-061-07,444
a06-110-02,82
e04-099-01,241
f07-024a-05,288
f07-101a-00,294
g01-083-09,301
b01-132-05,94
m06-031-02,552
n06-194-03,551
g06-018n-04,345
g06-050f-04,337
e01-018-05,210
b01-118-00,93
g01-083-04,301
c03-087c-05,152
f02-076-00,266
p03-142-06,626
c03-094f-06,155
g07-077a-04,354
a05-089-03,0
e06-021-03,206
h07-078-09,391
g06-042o-02,346
g04-088-05,328
e01-014-04,210
a05-013-08,0
g06-031p-00,347
b06-049-06,124
m04-107-09,547
m03-020-02,538
a06-114-09,83
f04-093-02,193
c03-016d-03,153
c03-000c-05,152
r02-146-00,655
e07-086-07,247
f04-004-02,272
g01-027-07,297
k07-185-01,456
g02-065-09,305
f04-046-01,278
a06-000-00,66
a01-007x-02,3
g06-042n-04,345
n04-060-05,583
g06-011h-09,339
c06-106-00,127
b06-090-07,134
b06-023-07,123
a04-047-05,61
c03-094c-02,152
c06-100-05,123
n02-098-03,567
a02-037-04,26
g06-018j-06,341
k02-076-03,425
p03-142-02,626
l07-190-01,498
l01-105-03,464
g01-025-08,297
a04-054-03,61
f02-033-08,259
c02-082-04,148
n02-037-07,562
f07-042a-01,285
e02-000-04,218
g06-026m-04,344
a02-062-05,31
c03-084b-02,151
e01-035-03,212
a01-087-00,17
l01-030-07,459
m04-138-09,547
e06-015-08,204
f04-053-05,279
c03-007d-03,153
g06-047h-00,339
c03-094d-04,153
a06-044-05,73
k04-017-05,239
b01-122-08,93
n04-213-05,587
g04-098-01,329
a03-017-02,44
l04-062-07,483
d03-117-04,183
h07-033a-06,387
e01-081-01,214
h04-052-05,379
n02-040-01,563
k07-146-08,455
h07-028a-07,387
c03-016d-06,153
c06-039-05,123
a01-038-11,7
g06-026o-05,346
g07-010b-05,350
g01-022-02,297
k07-185-00,456
b05-032-05,116
a01-011-00,5
c04-039-02,161
g07-077a-00,354
h07-071a-00,390
c03-094c-08,152
a01-049u-07,0
a02-027-04,25
g06-050m-03,344
a06-110-01,82
g04-022-03,319
g06-050n-06,345
p02-017-05,595
d06-027-01,206
p03-158-03,628
l07-187-05,498
c02-022-07,140
a06-090-04,79
d06-011-07,204
g03-052-05,316
m03-118-04,543
b03-098-01,103
a01-128-01,19
g04-072-07,325
b06-023-06,123
g07-028a-04,351
c03-081c-05,152
l01-179-07,472
g06-045k-01,342
a01-113u-05,0
h04-078-03,383
c03-084b-05,151
g07-003b-07,350
a02-062-01,31
h07-075-00,391
f04-096-10,193
e04-019-08,232
g06-045e-02,336
a05-089-10,0
p02-109-05,602
a01-003-10,2
a01-063u-08,0
f04-057-04,279
n04-044-00,582
e06-006-04,202
g06-031f-00,337
a02-120-00,39
c03-081f-07,155
l07-118-05,497
r06-027-03,635
d04-131-01,198
m04-038-04,545
g05-094-06,119
g06-031m-06,344
g06-011b-03,333
n01-020-01,555
p03-029-00,617
d06-011-09,204
l01-111-04,465
h07-020-00,385
c04-008-02,158
j06-034-07,415
r06-076-03,670
m01-000-01,499
c03-003c-02,152
m06-106-02,552
p02-150-00,610
b04-169-02,113
b05-074-02,119
b06-064-03,133
b04-020-08,107
k04-079-07,446
e06-006-00,202
l03-004-07,477
b01-009-05,87
a05-009-00,65
f04-053-01,279
j07-005-00,416
h06-085-03,384
k02-117-07,430
c02-026-05,141
h07-028a-02,387
b01-049-05,90
a04-000-06,58
a02-082-02,35
a01-117u-10,0
j06-008-10,384
l01-195-00,474
e04-038-00,234
g06-031n-01,345
b06-000-05,123
f01-147-00,256
r02-038-02,641
e04-062-02,237
m04-222-07,549
b06-093-02,125
l01-133-00,468
h04-071-02,382
a01-003u-04,0
a04-047-02,61
m02-055-05,522
g04-095-07,273
n04-044-06,582
c03-000e-04,154
k02-093-05,426
g06-037n-10,345
b06-075-01,124
g06-047c-06,334
m01-049-08,506
f07-076a-10,292
a04-069-07,62
g04-048-03,321
c06-095-01,131
p03-185-01,632
h06-082-07,384
a01-091-02,16
g06-037j-02,341
r02-060-03,643
d06-020-07,173
r06-111-00,671
h07-066a-04,389
b06-012-02,126
j06-014-08,384
g07-000a-11,294
h06-000-07,349
l04-170-02,493
d06-060-05,208
p03-121-00,624
c03-094a-00,150
a02-024-05,25
l04-118-05,489
g06-026o-04,346
c06-103-08,129
n02-054-09,564
c03-016e-10,154
p03-135-03,625
c04-013-01,158
c04-028-05,160
d06-050-00,174
p02-150-07,610
a01-007x-05,3
h04-007-02,330
d06-113-01,208
f04-068-03,281
m02-052-05,521
e01-035-04,212
j04-053-02,407
d04-117-03,197
a02-020-03,25
b06-012-01,126
p03-096-03,567
c04-035-01,159
p03-142-01,626
r02-089-02,649
g04-017-04,274
l01-187-01,473
a05-022-05,0
c03-003a-00,150
m01-032-07,504
m03-114-09,542
c03-081a-00,150
l01-030-06,459
d06-030-04,174
b06-053-07,127
r06-003-06,635
c03-007c-08,152
b06-056-03,125
g01-088-08,302
b04-116-02,111
d07-082-07,209
a01-043u-07,0
c06-087-02,126
g01-037-07,298
b04-010-06,107
n02-109-02,315
f07-021a-02,288
h01-000-08,356
g03-049-01,315
n06-169-03,551
a01-091u-02,0
d06-067-09,205
b04-060-02,109
d07-100-05,209
p03-080-01,623
n04-195-04,586
c03-087f-07,155
m03-114-03,542
d01-123-03,181
j04-012-01,401
g01-022-04,297
k04-110-10,450
f04-043-03,277
g06-042i-01,340
d04-081-03,193
a03-050-04,0
g06-047h-06,339
b06-000-03,123
c03-081d-04,153
e06-037-09,202
p02-127-01,605
h02-008-00,363
c03-087d-05,153
g06-037l-05,343
l04-020-06,481
g07-026a-02,351
m01-110-06,514
f07-000-02,285
r06-106-03,671
a05-048-06,0
a03-014-07,43
h07-084-03,392
g06-026m-06,344
g06-050n-01,345
m02-055-08,522
g03-049-04,315
m01-084-02,510
b05-098-02,121
e02-082-07,224
p02-150-08,610
a02-037-09,26
f03-191-06,270
n06-182-01,551
n04-156-04,585
c04-134-04,169
g07-050-04,353
b05-074-00,119
a05-009-03,65
h06-092-02,384
g07-044-02,353
d06-000-07,202
r06-121-10,671
p01-155-09,590
a03-027-01,47
g06-050d-07,335
e07-090-01,247
r06-022-04,635
k02-053-04,422
r06-044-01,670
h07-066a-06,389
c03-094a-04,150
f07-021a-00,288
g07-071a-09,354
b01-084-02,92
h04-074-07,382
a01-072u-08,0
c04-017-07,159
g06-031k-03,342
n04-209-04,587
e02-100-01,228
r03-090-05,666
p06-058-05,634
k04-075-05,446
f02-044-05,265
f03-174-01,268
r06-111-02,671
a01-091u-08,0
h02-017-02,365
n04-202-01,587
c04-144-04,170
d05-021-08,199
a02-053-07,29
p03-173-01,630
g04-108-01,330
n01-045-08,555
n06-169-02,551
g06-042h-06,339
e04-062-07,237
l07-103-01,496
b06-004-07,124
j01-066-00,398
c03-000c-07,152
c06-052-06,126
