writer_id,line_id,Text
49,a03-034-00-00,Members
49,a03-034-00-01,of
49,a03-034-00-02,the
49,a03-034-00-03,Cabinet
49,a03-034-00-04,are
49,a03-034-00-05,basing
49,a03-034-00-06,their
49,a03-034-00-08,on
49,a03-034-01-01,new
49,a03-034-01-03,booklet
49,a03-034-01-04,called
49,a03-034-01-05,The
49,a03-034-01-06,Record
49,a03-034-01-07,Speaks
49,a03-034-02-00,which
49,a03-034-02-02,in
49,a03-034-02-03,some
49,a03-034-02-04,detail
49,a03-034-02-05,the
49,a03-034-03-00,of
49,a03-034-03-01,the
49,a03-034-03-02,party
49,a03-034-03-03,since
49,a03-034-03-04,it
49,a03-034-03-05,came
49,a03-034-03-06,to
49,a03-034-03-07,office
49,a03-034-03-08,three
49,a03-034-03-09,and
49,a03-034-04-01,half
49,a03-034-04-02,years
49,a03-034-04-03,ago
49,a03-034-04-06,there
49,a03-034-04-07,is
49,a03-034-04-08,little
49,a03-034-05-01,in
49,a03-034-05-02,the
49,a03-034-05-04,Party
49,a03-034-05-05,that
49,a03-034-05-06,their
49,a03-034-06-00,stock
49,a03-034-06-01,at
49,a03-034-06-02,home
49,a03-034-06-03,has
49,a03-034-06-04,fallen
49,a03-034-06-05,in
49,a03-034-06-06,the
49,a03-034-06-07,face
49,a03-034-06-08,of
49,a03-034-07-00,heavy
49,a03-034-07-02,and
49,a03-034-07-03,an
49,a03-034-07-05,economy
128,b06-019-00-00,The
128,b06-019-00-01,process
128,b06-019-00-02,has
128,b06-019-00-03,been
128,b06-019-00-04,too
128,b06-019-00-05,slow
128,b06-019-00-06,for
128,b06-019-00-07,Herr
128,b06-019-01-00,Strauss
128,b06-019-01-01,and
128,b06-019-01-02,last
128,b06-019-01-03,month
128,b06-019-01-04,he
128,b06-019-02-00,Britain
128,b06-019-02-01,for
128,b06-019-02-02,being
128,b06-019-02-03,an
128,b06-019-02-05,for
128,b06-019-02-06,West
128,b06-019-03-00,plans
128,b06-019-03-01,for
128,b06-019-03-04,unified
128,b06-019-03-05,supply
128,b06-019-04-00,in
128,b06-019-04-01,Nato
128,b06-019-04-05,supply
128,b06-019-04-07,which
128,b06-019-04-08,would
128,b06-019-05-00,link
128,b06-019-05-02,the
128,b06-019-05-03,various
128,b06-019-05-04,West
128,b06-019-05-05,German
128,b06-019-06-05,By
128,b06-019-06-06,the
128,b06-019-06-07,end
128,b06-019-06-08,of
128,b06-019-06-09,the
128,b06-019-06-10,year
128,b06-019-06-11,there
128,b06-019-07-00,will
128,b06-019-07-01,be
128,b06-019-07-03,German
128,b06-019-07-05,in
128,b06-019-07-06,Nato
128,b06-019-08-01,with
128,b06-019-08-02,four
128,b06-019-08-04,of
128,b06-019-09-00,British
128,b06-019-09-01,troops
116,b05-032-00-00,The
116,b05-032-00-02,from
116,b05-032-00-03,the
116,b05-032-00-04,New
116,b05-032-00-05,World
116,b05-032-00-06,who
116,b05-032-00-07,had
116,b05-032-01-00,been
116,b05-032-01-01,in
116,b05-032-01-02,Britain
116,b05-032-01-03,many
116,b05-032-01-04,times
116,b05-032-01-05,before
116,b05-032-01-07,were
116,b05-032-02-01,stunned
116,b05-032-02-04,they
116,b05-032-02-05,said
116,b05-032-02-08,We
116,b05-032-02-09,thought
116,b05-032-03-00,we
116,b05-032-03-01,knew
116,b05-032-03-02,it
116,b05-032-03-03,all
116,b05-032-03-05,but
116,b05-032-03-06,you
116,b05-032-03-08,never
116,b05-032-03-09,run
116,b05-032-04-00,out
116,b05-032-04-01,of
116,b05-032-04-03,stones
116,b05-032-05-00,To
116,b05-032-05-01,the
116,b05-032-05-02,British
116,b05-032-05-03,Travel
116,b05-032-05-06,doing
116,b05-032-05-07,their
116,b05-032-06-03,offer
116,b05-032-06-04,these
116,b05-032-06-05,sad
116,b05-032-06-08,IN
116,b05-032-06-09,the
116,b05-032-07-00,the
116,b05-032-07-02,took
116,b05-032-07-04,to
116,b05-032-07-05,their
116,b05-032-07-06,looms
116,b05-032-07-07,and
116,b05-032-08-00,many
116,b05-032-08-02,good
116,b05-032-08-03,trade
116,b05-032-08-05,since
116,b05-032-08-06,then
116,b05-032-08-07,has
116,b05-032-08-09,in
116,b05-032-08-10,the
116,b05-032-09-00,hope
116,b05-032-09-01,of
116,b05-032-09-03,the
116,b05-032-09-04,lot
116,b05-032-09-05,of
116,b05-032-09-06,his
116,b05-032-09-07,fellow
116,b05-032-09-08,workers
116,b05-032-09-10,taken
116,b05-032-10-00,the
116,b05-032-10-02,Luddite
116,b05-032-10-03,hammer
116,b05-032-10-04,again
85,a06-124-00-00,The
85,a06-124-00-01,big
85,a06-124-00-03,squeeze
85,a06-124-00-05,means
85,a06-124-00-06,that
85,a06-124-00-07,it
85,a06-124-00-08,is
85,a06-124-00-09,going
85,a06-124-00-10,to
85,a06-124-00-11,be
85,a06-124-00-12,more
85,a06-124-01-01,to
85,a06-124-01-02,arrange
85,a06-124-01-04,loan
85,a06-124-01-05,or
85,a06-124-01-08,And
85,a06-124-01-09,banks
85,a06-124-01-10,will
85,a06-124-01-11,be
85,a06-124-02-01,in
85,a06-124-02-06,This
85,a06-124-02-07,is
85,a06-124-02-09,in
85,a06-124-03-00,the
85,a06-124-03-01,Central
85,a06-124-03-03,weekly
85,a06-124-03-04,return
85,a06-124-03-07,which
85,a06-124-03-08,shows
85,a06-124-03-09,that
85,a06-124-03-10,more
85,a06-124-04-00,than
85,a06-124-04-02,of
85,a06-124-04-03,the
85,a06-124-04-05,money
85,a06-124-04-06,is
85,a06-124-04-07,now
85,a06-124-04-08,frozen
85,a06-124-04-09,in
85,a06-124-04-10,the
85,a06-124-05-00,form
85,a06-124-05-01,of
85,a06-124-05-02,special
85,a06-124-05-04,with
85,a06-124-05-05,the
85,a06-124-05-06,Bank
85,a06-124-05-07,of
85,a06-124-05-08,England
232,e04-022-00-00,Decide
232,e04-022-00-01,on
232,e04-022-00-02,the
232,e04-022-00-04,angle
232,e04-022-00-05,of
232,e04-022-00-06,slope
232,e04-022-01-00,keeping
232,e04-022-01-02,flat
232,e04-022-01-03,on
232,e04-022-01-04,the
232,e04-022-01-05,chair
232,e04-022-01-06,seat
232,e04-022-01-08,and
232,e04-022-01-09,mark
232,e04-022-02-00,off
232,e04-022-02-01,the
232,e04-022-02-02,exact
232,e04-022-02-04,of
232,e04-022-02-06,on
232,e04-022-02-07,the
232,e04-022-02-08,side
232,e04-022-03-00,pieces
232,e04-022-03-02,These
232,e04-022-03-03,can
232,e04-022-03-04,then
232,e04-022-03-05,be
232,e04-022-03-06,cut
232,e04-022-03-07,at
232,e04-022-03-08,the
232,e04-022-03-09,correct
232,e04-022-04-00,angle
232,e04-022-04-01,and
232,e04-022-04-03,is
232,e04-022-04-04,glued
232,e04-022-04-05,and
232,e04-022-04-06,nailed
232,e04-022-04-07,in
232,e04-022-04-08,place
232,e04-022-05-01,piece
232,e04-022-05-02,of
232,e04-022-05-04,is
232,e04-022-05-05,then
232,e04-022-05-06,cut
232,e04-022-05-07,and
232,e04-022-05-08,pinned
232,e04-022-06-00,to
232,e04-022-06-01,the
232,e04-022-06-02,frame
232,e04-022-06-03,and
232,e04-022-06-04,its
232,e04-022-06-05,edges
232,e04-022-06-06,planed
232,e04-022-06-07,off
232,e04-022-07-00,flush
342,g06-042k-00-00,Nor
342,g06-042k-00-01,is
342,g06-042k-00-02,this
342,g06-042k-00-03,to
342,g06-042k-00-04,be
342,g06-042k-00-06,at
342,g06-042k-00-08,for
342,g06-042k-00-09,even
342,g06-042k-00-10,today
342,g06-042k-00-12,in
342,g06-042k-01-00,the
342,g06-042k-01-03,no
342,g06-042k-01-04,cure
342,g06-042k-01-05,has
342,g06-042k-01-06,been
342,g06-042k-01-07,found
342,g06-042k-01-08,for
342,g06-042k-01-09,the
342,g06-042k-02-03,As
342,g06-042k-02-04,early
342,g06-042k-02-05,as
342,g06-042k-02-08,when
342,g06-042k-03-01,himself
342,g06-042k-03-02,to
342,g06-042k-03-03,be
342,g06-042k-03-04,on
342,g06-042k-03-05,the
342,g06-042k-03-06,point
342,g06-042k-03-07,of
342,g06-042k-03-08,death
342,g06-042k-04-00,the
342,g06-042k-04-01,new
342,g06-042k-04-02,German
342,g06-042k-04-04,method
342,g06-042k-04-05,known
342,g06-042k-04-06,as
342,g06-042k-05-01,had
342,g06-042k-05-02,been
342,g06-042k-05-03,brought
342,g06-042k-05-04,to
342,g06-042k-05-05,his
342,g06-042k-05-06,notice
340,g06-011i-00-00,By
340,g06-011i-00-01,the
340,g06-011i-00-02,end
340,g06-011i-00-03,of
340,g06-011i-00-04,the
340,g06-011i-00-05,month
340,g06-011i-00-06,he
340,g06-011i-00-07,still
340,g06-011i-00-09,in
340,g06-011i-00-10,Naples
340,g06-011i-01-00,He
340,g06-011i-01-01,told
340,g06-011i-01-03,that
340,g06-011i-01-04,he
340,g06-011i-01-05,enjoyed
340,g06-011i-01-06,it
340,g06-011i-01-07,as
340,g06-011i-01-08,much
340,g06-011i-01-09,as
340,g06-011i-01-10,his
340,g06-011i-02-00,health
340,g06-011i-02-02,him
340,g06-011i-02-03,to
340,g06-011i-02-04,enjoy
340,g06-011i-02-08,The
340,g06-011i-02-09,Pearl
340,g06-011i-02-12,he
340,g06-011i-03-00,wrote
340,g06-011i-03-03,is
340,g06-011i-03-04,arrived
340,g06-011i-03-06,which
340,g06-011i-03-07,is
340,g06-011i-03-09,great
340,g06-011i-04-00,seems
340,g06-011i-04-01,to
340,g06-011i-04-02,be
340,g06-011i-04-03,tired
340,g06-011i-04-05,he
340,g06-011i-04-06,is
340,g06-011i-04-07,going
340,g06-011i-04-08,out
340,g06-011i-04-09,fast
340,g06-011i-04-12,What
340,g06-011i-04-14,gay
340,g06-011i-05-00,lively
340,g06-011i-05-01,people
340,g06-011i-05-03,and
340,g06-011i-05-04,what
340,g06-011i-05-06,busy
340,g06-011i-05-07,town
340,g06-011i-05-09,At
340,g06-011i-05-10,Rome
340,g06-011i-05-12,every
340,g06-011i-05-13,other
340,g06-011i-06-00,man
340,g06-011i-06-01,was
340,g06-011i-06-03,priest
340,g06-011i-06-05,here
340,g06-011i-06-06,the
340,g06-011i-06-07,priest
340,g06-011i-06-08,is
340,g06-011i-06-10,by
340,g06-011i-07-00,the
340,g06-011i-07-01,soldier
340,g06-011i-07-05,change
340,g06-011i-07-06,in
340,g06-011i-07-07,my
340,g06-011i-07-08,eye
340,g06-011i-08-00,as
